"A mermaid is the symbol of this European city; depicted on its coat of arms, it can be seen on statues throughout the city.\n","Warsaw","Warsaw","Amsterdam","Rotterdam","Copenhagen"
"A mixture of water and honey can be used for what unconventional purpose?\n","Antifreeze for cars","Antifreeze for cars","A treatment for throat infections","A means of greasing a muffin pan","Silver cleaner"
"A notable movie in the Film Noir genre is Out of the Past.  This movie featured Robert Mitchum as Jeff Bailey, who is forced to confront his past by one unsavory adversary, played by an actor who is not known for his roles playing a heavy.  Name him.\n","Kirk Douglas","Raymond Burr","Charles Laughton","Kirk Douglas","Vincent Price"
"A person who is afraid of heights, suffers from what disorder?\n","Acrophobia","Acrophobia","Agoraphobia","Arachnophobia","Anglophobia"
"A person who is excessively afraid of getting married suffers from what phobia?\n","Gamophobia","Wedophobia","Entomophobia","Acrophobia","Gamophobia"
"A plaster cast of a reclining Bigfoot was taken in September of 2000. What is the cast called?\n","The Skookum Cast","The Mud Mark","The Skookum Cast","The Sasquatch Impression","The Greenville Ape Wallow"
"A popular method of finding a vampires grave involved this animal that would supposedly balk at the grave.\n","Horse","Horse","Chicken","Black cat","Wolf"
"A pure diamond is colorless, but extremely rare. This is the color shade that most diamonds have.\n","Yellow","Gray","Yellow","Blue","Green"
"A shade of what color is the color called jazzberry jam?\n","Red-violet","Mint green","Golden brown","Fuchsia","Red-violet"
"A shade of which color is the so-called June bud color?\n","Green","Orange","Coral","Green","Pink"
"A specimen from which of these species was listed in the Guinness Book of World Records as the longest bony fish alive?\n","Oarfish","Whale shark","Bluefin tuna","Oarfish","Blue whale"
"A tabby is a type of domesticated cat with tiger-like stripes and silky fur. Where does the word tabby come from?\n","A suburb of Baghdad","A corruption of Tabitha, a name long associated with cats and the devil","A district of a city in China","A suburb of Baghdad","A corruption of its Latin name"
"A Tattoo is a wound. It oozes for a couple of days after it has been made. This is not recommended for you to do after you get a tattoo.\n","Swim and sunbathe","Swim and sunbathe","Wash it soap","Eat hot food","Cover it with clothes"
"A variation of what color is the shade called Harlequin?\n","Green","Blue","Orange","Red","Green"
"A Venus day, the time it takes Venus to rotate once, is approximately how long?\n","243 Earth days","20 Earth hours","10 Earth hours","106 Earth days","243 Earth days"
"A very common greeting in India is namaste or namaskar. What does it mean?\n","I bow  to you.","I bow  to you.","I pray your family is complete.","May you be blessed.","How are  you?"
"A war, which was condemned by the United Nations, was fought in 1982 over a group of islands between which two countries?\n","Argentina and Great Britain","Grenada and the USA","Panama and the USA","Argentina and Great Britain","Chile and Argentina"
"â€œAppointing your grandmother to office for the good of the partyâ€ is the definition of which of these words in the satirical book by Ambrose Bierce The Devils Dictionary?\n","Nepotism","Favoritism","Humanitarianism","Socialism","Nepotism"
"â€œThe art of protecting flat surfaces from the weather and exposing them to the criticâ€ is satirist Ambrose Bierceâ€™s definition for which of these activities?\n","Painting","Sculpturing","Repairing","Painting","Safeguarding"
"About half of the 26,000 kg diamonds mined annually originate from which continent?\n","Africa","Asia","South America","Europe","Africa"
"About how many feet are there in one kilometer?\n","3281","1762","3281","5280","2089"
"According to a belief,  women should wear diamonds on this finger.\n","The middle finger of the left hand","The thumb of the right hand","The index finger of the left hand","The middle finger of the left hand","The middle finger of the right hand"
"According to a popular 1960s slogan, where would you meet the nicest people?\n","On a Honda","At the AMC theaters","On a Honda","At Macys","In Las Vegas"
"According to a popular Greek legend, Thessalonike, the sister of this historical figure, was transformed into a mermaid after her death.\n","Alexander the Great","Aristotle","Helen of Troy","Alexander the Great","Orpheus"
"According to a story, a teenage girl wears her new pair of shrink-to-fit jeans in the bathtub in order to acheive the perfect fit. Unfortunately, the jeans shrink so much that they kill her with their constricting force. What brand of jeans is responsible?\n","Levis","Levis","Abercrombie  Fitch","Tommy Hilfiger","Calvin Klein"
"According to a study published in the Annals of Neurology, people who regularly come into contact with pesticides are 70 % more likely to develop what disease?\n","Parkinsons disease","Brain Cancer","Alzheimers disease","Jakob-Brezlov disease","Parkinsons disease"
"According to a theory, palm readers should explore only the left hand of people which of the following people?\n","Women","Unmarried people","Women","Men","Children"
"According to an urban legend, an electrical worker is blinded for life when the following item/s fuse(s) to his eyes.\n","His contact lenses","His contact lenses","His welding rod","His goggles","His loose shirt cuff"
"According to an urban legend, in Geneva in 2002 an intoxicated groom was suffocated at his bachelor party by which of the following?\n","A strippers large breasts","Passing out face down on the shag carpet","A strippers large breasts","His jealous best man","His own tie"
"According to Arthurian legend, Queen Guineveres love affair with this knight of the Round Table led to the downfall of Camelot.\n","Lancelot","Tristan","Lancelot","Percival","Galahad"
"According to Douglas Adams book The Hitchhikers Guide to the Galaxy, this number is the answer to the Ultimate Question of Life, the Universe and Everything.\n","42","37","53","42","27"
"According to Dr. Seuss, what goes with ham?\n","Green eggs","Green eggs","Orange bacon","Pink Sausage","Blue Cheese"
"According to geologists, in which era do we live?\n","Cenozoic","Mesozoic","Cenozoic","Simpsonian","Quaternary"
"According to GlobalNet UK, less than what percentage of 500 Chinese cities surveyed have clean air?\n","1%","15%","24%","30%","1%"
"According to Greek mythology, he was the best friend of Pythias.\n","Damion","Damion","Daconias","Draco","Desmond"
"According to Hindu tradition, the fifth chakra, called Vishuddha and associated with the blue color, is located in this part of the body.\n","Neck","Navel","Neck","Left ring finger","Mouth"
"According to Islamic beliefs, the Devil was created out of what?\n","Smokeless fire","Unbreakable rocks","Smokeless fire","Clay","Polluted soil"
"According to Japanese folklore, this kind of fox is unusual and has special abilities.\n","Kitsune","Kitsune","Nuckalavee","Gamera","Ghidorah"
"According to legend, each leaflet of a 4-leaf clover has a meaning. What does the 1st leaf mean?\n","Hope","Luck","Hope","Strength","Prosperity"
"According to Leonardo da Vinci the color green represented what?\n","water","water","wealth","wisdom","earth"
"According to Luke 6:13, Jesus called unto him his disciples, and of them he chose twelve, whom also he named apostles.  Which one did Jesus not choose?\n","Mark","Judas Iscariot","Thomas","Mark","Thaddaeus"
"According to modern geological theories, there was only one continent about 200 million years ago. What do geologists call it?\n","Pangaea","Panthalyssia","Pannotia","Pangaea","Rodinia"
"According to most theories, when was the color pink invented?\n","17th century","17th century","12th century","19th century","15th century"
"According to popular urban legends, the ghost of an Indiana teen who was killed after 5 other teens pushed her into the sewer will kill anyone who doesnt do which of the following?\n","Repost her story on Myspace","Draw a cross on 5 manhole covers","Light a candle in her memory","Repost her story on Myspace","Forward her story by email"
"According to Slavic belief, what type of death caused the soul to become unclean and potentially transformed a corpse into a vampire?\n","All of these","Early death","Violent death","Death of an unbaptized person","All of these"
"According to the 1990 US census the most common surname is Smith. What is the second most common name?\n","Johnson","Brown","Williams","Jones","Johnson"
"According to the August 2008 issue of Travel  Leisure, what is the scariest road in the world?\n","N. Yungas Road, Bolivia","Karakoram Hwy., Pakistan to China","Guoliang Tunnel Road, China","N. Yungas Road, Bolivia","Halsena Hwy., Luzon, Philippines"
"According to The Bible, how long did Jonah stay in the whale (i.e. in the leviathan)?\n","3 days and 3 nights","40 days and 40 nights","0 days and 0 nights","120 years","3 days and 3 nights"
"According to the Bible, the very first Rebecca was married to whom?\n","Issac","Jacob","Issac","Abraham","Abel"
"According to the Bible, where was Jesus Christ born?\n","Bethlehem","Jerusalem","Erichon","Bethlehem","Egypt"
"According to the Christian  tradition there are 39 books in the Old Testament. How many books are there in the Old Testament according to the Jewish tradition?\n","24","39","5","24","65"
"According to the New Testament, which of the 12 Apostles gave Jesus a kiss, known as the kiss of betrayal?\n","Judas","Thaddeus","Judas","Bartholomew","Simon the Zealot"
"According to the popular song, in what city is the House of the Rising Sun located?\n","New Orleans","Lexington","New Orleans","San Francisco","Dallas"
"According to the popular TV show, at what restaurant does Alice work?\n","Mels Diner","Dennys","Burger King","McDonalds","Mels Diner"
"According to the religion of Sikhism, it is every Sikhs duty to defeat what five vices?\n","Ego, anger, greed, attachment, and lust","Religious zealots, political zealots, money lending, sexual allurement and gluttony","Alcohol, pork, money, gold, and diamonds","Ego, anger, greed, attachment, and lust","Drunkenness, lewdness, murder, rape and theft"
"According to their mission statement, what is the primary goal of the US Central Intelligence Agency?\n","Providing national security intelligence to senior US policymakers","Providing national security intelligence to senior US policymakers","Fighting Al-Qaeda","Rescuing US citizens from terrorists around the world","Spying on all aliens on US territory"
"According to urban legends that spread in 1997, people in this country began pumping air from a bicycle pump into their rectum resulting in their explosion.\n","Thailand","The United States","Poland","Thailand","South Africa"
"According to urban legends, at Santa Fes Loretto Chapel, this structure defies the laws of physics, standing without any support.\n","A spiral staircase","A 12 foot tall mirror","A stained glass window depicting Jesus","A spiral staircase","A stained glass window depicting St. Joseph"
"According to urban legends, in Plainfield, Wisconsin the ghosts of two murdered girls return to kill and skin their parents. Why?\n","The parents didnt tell their subsequent son about his sisters.","The parents murdered them.","The parents didnt tell their subsequent son about his sisters.","The parents didnt report the girls murders.","The parents sold the girls to be murdered."
"According to urban legends, the Titantic sank because it was carrying which of the following?\n","A cursed mummy","Jack the Ripper","A man trying to outrun a gypsys curse","A cursed mummy","The Book of the Dead"
"Ace Frehley, one of the original members of Kiss, created the bands iconic logo, in which the letters SS look like lightning bolts. In which of these countries have Kiss used a modified version of their logo in order to avoid controversy?\n","Germany","Australia","Germany","Russia","USA"
"Acrophobia is a term, defined as an excessive fear of what?\n","Heights","Heights","Travel","Water","Light"
"Across the Hall, Friends Like Us, Insomnia Café and Six of One are all working titles of one of famous US TV-series.  Name the series.\n","Friends","Friends","Sex and the City","ALF","One Tree Hill"
"Actors Dolph Lundgren, Lena Olin, and Ann Margaret hail from this Scandinavian country that joined the European Union in 1995.\n","Sweden","Finland","Sweden","Norway","Estonia"
"After fashion designer Gianni Versace was murdered outside his Miami home, his sister Donatella stepped in as creative director of the fashion label. What is the name of Versaces older brother who became CEO of Gianni Versace S.p.A.?\n","Santo","Francesco","Antonio","Tano","Santo"
"After gaining 30 pounds and donning a set of prosthetic teeth, Charlize Theron teamed up with Christina Ricci and won a 2003 Academy Award for Best Actress in the biographical, crime, thriller movie titled Monster. What real life serial killer and prostitute did Charlize portray in this film?\n","Aileen Wournos","Lizzie Borden","Lynette Squeaky Fromme","Aileen Wournos","Valerie Solanas"
"After the battle of Waterloo, General Ney of the French army received a death sentence and was reportedly executed by firing squad on December 7th, 1815. However a gentleman called Peter Ney, who died in the year 1846, claimed to be the General.  It was never proven that he actually was the General. However, many things point towards the truth of his claim. Which of thes is not one of them?\n","When he arrived in the US - safe from prosecution - he identified himself as the General, but he was not believed","On the boat to the US he was spotted and recognized by a former soldier under his command","When he arrived in the US - safe from prosecution - he identified himself as the General, but he was not believed","A famous New York handwriting specialist identified his writing as that of the general","He had surprising knowledge of the family background and the military"
"After three unsuccessful runs, this socialist was elected President in 1970.\n","Salvador Allende","Salvador Allende","Miquel Noriega","Dmitri Kerensky","Ivan Beria"
"Aichmophobia is defined as an abnormal fear of what?\n","pointy objects","algebraic equations","tombstones","atomic explosives","pointy objects"
"Ailurophobia is fear of these animals.\n","Cats","Horses","Cats","Dogs","Fish"
"Al the languages of Europe, except three, are derived from Indian languages, probably Sanskrit or Tamil. Which three are the exceptions?\n","Hungarian, Estonian, and Finnish","Norwegian, Danish, and Swedish","Andorran, Catalan, and Provencal","Romanian, Romansch, and English","Hungarian, Estonian, and Finnish"
"Alaska, Texas and California are the three largest states in the USA. Which are the next two largest states?\n","Montana and New Mexico","Montana and New Mexico","Georgia and Iowa","Wyoming and Iowa","Montana and Georgia"
"Alban W. Phillips is the discoverer of the Phillips Curve. What does this curve show?\n","Inflation is inversely proportional to unemployment.","Rising wages favor capital-intensive investments.","Inflation is inversely proportional to unemployment.","Rising wages favor labor-intensive investments.","Property is the real basis for wealth in a capitalistic society."
"Alexander Graham Bell, known as the inventor of the telephone, is also credited with the invention of this device, which was first used after the assassination of President James Garfield.\n","metal detector","metal detector","phonograph","audiometer","air conditioning"
"Alexander Reid, a famous Scottish art dealer, lived with the Van Gogh brothers for over a year and was given two original Van Goghs as a farewell gift. He quickly sold both of them for five pounds. Why?\n","His father thought they were terrible","His father thought they were terrible","They were drawings not paintings","He thought they were terrible","They were actually painted by Theo not by Vincent"
"Algonquin wedding feasts include many traditional American Indian foods, as well as this type of meat.\n","Deer","Pork","Hare","Horse","Deer"
"All babies are born with a soft spot on the top of their heads. What is this called?\n","Fontanelle","Raspberry","Soft Spot","Neurocranium","Fontanelle"
"All but one of these statements represents a common bond between the movies, The Terminal and Catch Me if You Can.\n","Leonardo DiCaprio stars in them both.","They both can be classified as dramas.","They both are produced by Spielberg.","Tom Hanks stars in them both.","Leonardo DiCaprio stars in them both."
"All of the following are fruits except which one?\n","corn","corn","orange","cherry","apple"
"All of these French writers were born before 1900 except one.\n","Simone de Beauvoir","Alexandre Dumas","Simone de Beauvoir","Marcel Proust","Gustave Flaubert"
"All of these gadgets belong to James Bond except one.  Can you spot it?\n","Batarang","Batarang","Cigarette lighter (a disguised timed explosive)","Polarizing Sunglasses","Phone Booth Trap"
"Alligators and crocodiles exist together in only one place in the world, where?\n","Florida","Samoa","North Carolina","Florida","Australia"
"Almaty, or Alma-Ata as formerly known, is the largest city and capital of which country?\n","Kazakhstan","Krgyzstan","Tajikistan","Kyrgyzstan","Kazakhstan"
"Almost everyone knows of Hank Aaron, Babe Ruth, Sandy Koufax, Bob Gibson, and Ichiro Suzuki but who was Bill Klem?\n","The Father of Modern Umpires","The first professional baseball player","The Father of Modern Umpires","The man who replaced Lou Gehrig at first base for the Yankees.","The man who sold Babe Ruth to the Yankees"
"Also the name of a famous vodka, Finlandia was a symphonic poem first written in 1899 by what Finnish composer?\n","Jean Sibelius","Frederic Chopin","Edvard Grieg","Jean Sibelius","Magnus Lindberg"
"Although almost non-existent today, what ancient religion, stemming predominantly from Persia, worshipped Ahura Mazda as an uncreated Creator and God.\n","Zoroastrianism","Hinduism","Rastafarianism","Zoroastrianism","Taoism"
"Although minimal, the risk of transmitting this disease through a tattoo needle exists. This disease can also be transmitted through the ink or dirty equipment and environment.\n","Hepatitis B","Tuberculosis","Hepatitis B","Cholera","Mumps"
"Although opponents tried to spread rumors that he was in the KKK, this President completely integrated the U.S. Armed Forces.\n","Truman","Andrew Johnson","Lyndon Johnson","Hoover","Truman"
"Although seemingly different, the diamond and the graphite are both allotropes of one and the same chemical element. Which one?\n","Carbon","Nitrogen","Carbon","Oxygen","Iron"
"Although the first paperback books were published in Germany, it was in England that the paperback book first became very popular. This is considered the first paperback novel.\n","Pelham by Edward Bulwer-Lytton","Robinson Crusoe by Daniel Defoe","A Tale of Two Cities by Charles Dickens","Pelham by Edward Bulwer-Lytton","The Adventures of Tom Thumb by Brigham Wise-Dunne"
"Although this author spent much of his life outside his native Ireland, his landmark novels Ulysses and A Portrait of the Artist as a Young Man are set in Dublin.\n","James Joyce","James Clavell","James William Mitchell","James Joyce","James Munro"
"Amathophobia is an irrational fear of what?\n","dust particles","thunder  lightning","movement or change","falling in love","dust particles"
"American athletes Dave DeBusschere, Gene Conley and Del Rice all have what in common?\n","They played pro basketball and pro baseball","They played pro baseball and  pro football","They played pro basketball and pro football","They played pro basketball and became team owners","They played pro basketball and pro baseball"
"An early version of this instrument was invented by Bartolomeo Cristofori of Florence, who was employed by the Medici family.\n","The piano","The piano","The crane","The steam drill","The plow"
"An eponym that describes a mens style is derived from the name of this Union general.\n","General Burnside","General Sheridan","General Burnside","General Tuxedo","General Trouser"
"Ancient Greeks also had their bubble gum. They chewed the resin of this tree to clean their teeth and freshen their breath.\n","Mastic tree","Ash tree","Mastic tree","Olive tree","Pine tree"
"Andreas Gruenintzig was the doctor who first  performed this procedure.\n","Angioplasty","Thyroidectomy","Bone marrow transplant","Lung transplant","Angioplasty"
"Ann has $5.00 and Jeff gives her $2.50, then she goes and buys $3.38 worth of candy. How much money does she have left?\n","$4.12","$4.12","$3.92","nothing","$5.00"
"Antigua and Barbuda, Belize, and Zimbabwe are three countries which share just one of these four items.\n","Independence gained from the UK","Population less than 30,000 people","Independence gained from the UK","Currency","Border"
"Apart from its culinary properties, sugar has many uses in science and manufacturing. It is used for all of the following, except one.\n","To increase ice creams freezing point","To tan leather, printer inks and dyes.","To harden asphalt.","To increase ice creams freezing point","To help grow penicillin."
"Approximately how fast can a sneeze travel?\n","100 miles per hour","500 miles an hour","100 miles per hour","100 feet per hour","50 feet an hour"
"Approximately how long does it take a fingernail to grow from the base to the tip?\n","6 months","6 days","6 months","6 weeks","2 months"
"Approximately how long is the Martian solar day?\n","24 hours 39 minutes","48 hours 30 minutes","12 hours 35 minutes","15 hours","24 hours 39 minutes"
"Approximately how many pencils are sold annually in the USA?\n","2,000,000,000","500,000,000","2,000,000,000","200,000,000","20,000,000"
"Approximately how many people attended the soccer match between Uruguay and Brazil during the 1950 FIFA World Cup tournament?\n","199,800","300,000","500,000","1,000,000","199,800"
"Approximately how many pounds of food should a normal adult horse consume in a day?\n","15-25","40-50","15-25","5-10","30-35"
"Approximately how much time does it take for light from the Sun to reach the Earths surface?\n","About 8 minutes","About 37 minutes","About 1 minute","About 8 minutes","About 29 seconds"
"Approximately how much whole milk does it take to make one gallon of ice cream?\n","12 pounds","10 pounds","21.2 pounds","4.5 pounds","12 pounds"
"Approximately what percentage of a jellyfish is water ?\n","95","98","95","90","85"
"Arrange the listed phobias in the following order: fear of clowns, fear of speaking in public, fear of smells, fear of needles.\n","Coulrophobia, Glossophobia, Osmophobia, Trypanophobia","Osmophobia, Coulrophobia, Trypanophobia, Glossophobia","Glossophobia, Osmophobia, Trypanophobia, Coulrophobia","Coulrophobia, Glossophobia, Osmophobia, Trypanophobia","Trypanophobia, Glossophobia, Osmophobia, Coulrophobia"
"As a cheaper substitute for which of these precious stones is the synthetic cubic zirconia used?\n","Diamond","Peridot","Goshenite","Diamond","Opal"
"As a child, this singer allegedly witnessed a car accident in the desert, where a family of Native Americans were injured. He considered this incident to be the most impactful event in his life and often referred to it in his poems and songs.\n","Jim Morrison","Jimi Hendrix","Jimmy Somerville","James Brown","Jim Morrison"
"As a protest to the British Tea Tax, colonial Americans used this for making tea.\n","Goldenrod","Hay","Goldenrod","Persian Root","Strawberries"
"At one time both Canada and Ireland were governed by people of this same name.\n","Mary Robinson","John McKenzie","Sarah Mosely","Mary Robinson","Robert Hall  Briscoe"
"At the 2003 MTV music awards these two stars wore diamond necklaces with their initials.\n","Britney Spears and Madonna","Britney Spears and Madonna","Alicia Keys and Anastasia","Whitney Huston and Mariah Carey","Jeniffer Aniston and Brad Pitt"
"At the end of his historic performance at the Monterey Pop Festival in 1967, this musician set his guitar Fender Stratocaster on fire.\n","Jimi Hendrix","Little Richard","Janis Joplin","Jimi Hendrix","Peter Townsend"
"At wedding ceremonies in China, both the bride and the groom are dressed in this color.\n","Red","Blue","Silver","Yellow","Red"
"At wedding ceremonies in Iran, this object is placed between two candelabras on a spread, to represent  the brightly future of the couple.\n","Mirror","Silver plate","Mirror","Lamp","Diamond ring"
"At what angle is the Earth tilted?\n","23.5 degrees","23.5 degrees","90 radians","45 radians","45 degrees"
"At what approximate speed does the Earth orbit around the Sun?\n","108 000 km/h (67 108.1 mph)","18 000 km/h (11 184.7 mph)","10 000 km/h (6 213.7 mph)","108 000 km/h (67 108.1 mph)","1000 km/h (621.4 mph)"
"At what event was the opera Aida premiered?\n","The opening of the Suez Canal","The opening of the Suez Canal","The opening of La Scala in Milan","The opening of  the Panama Canal","The  opening of the National Opera House in Rome"
"At what New York nightclub did American socialite Little Edie have a cabaret act for about two weeks?\n","Reno Sweeny","Irma Le Deuce","Reno Sweeny","The Gay Parie","Les Follies"
"At what temperature does water begin to boil on top of Mount Everest?\n","150 degrees Fahrenheit","150 degrees Fahrenheit","212 degrees Fahrenheit","150 degrees Centigrade","0 degrees Kelvin"
"At what temperature is the Fahrenheit temperature equal the Celsius temperature?\n","-40 degrees","0 degrees","-40 degrees","4 degrees","-4 degrees"
"At what time does Big Ben, in London, have both clock hands together?\n","Never","At 12 noon and 12 midnight","Only at midnight","Only at noon","Never"
"Atticus Finch was a great, moral man and a fine lawyer who defended Tom Robinson. In which novel and  movie was he a central character?\n","To Kill a Mockingbird","To Kill a Mockingbird","The Trial","Witness for the Prosecution","Anatomy of a Murder"
"Audrey Hepburn, Jean-Claude Van Damme, Django Reinhardt, Toots Thielemans, and Adolphe Sax were all born in this country.\n","Belgium","Luxembourg","Belgium","France","The Netherlands"
"Author Dean Koontz was so upset with the 1996 film version of this book that he has demanded creative control over every film based on one of his books.\n","Hideaway","Watchers","Carrie","Phantoms","Hideaway"
"Author Marianna Mayer describes this mythical creature as the only fabulous beast that does not seem to have been conceived out of human fears. In even the earliest references he is fierce yet good, selfless yet solitary, but always mysteriously beautiful. He could be captured only by unfair means. What creature is this?\n","Unicorn","Satyr","Griffin","Unicorn","Phoenix"
"Ava and Mia were two of the wives of which famous persons?\n","Frank Sinatra","Henry VIII","Artie Shaw","Frank Sinatra","Louis XIV"
"Baseball player Alexander Rodriguez, who became the youngest player ever to hit 500 home runs, started his professional career with this team.\n","Seattle Mariners","Seattle Mariners","New York Yankees","Detroit Tigers","Texas Rangers"
"Basketball has always been a physical sport. This player is a record breaker for the most personal fouls in one NBA season.\n","Darryl Dawkins","Darryl Dawkins","Moses Malone","Joe Dumars","Wilt  Chamberlin"
"Bazooka introduced the first bubble gum comics named Bazooka Joe. It was first introduced in this year.\n","1953","1920","1953","1910","1963"
"Because of his notable achievements as a poet, writer, and independence movement leader, Jose Marti is considered the greatest hero of which country?\n","Cuba","Spain","Mexico","Cuba","Argentina"
"Beethovens Fifth Symphony is divided into four movements. What is the name of the opening one?\n","Allegro con brio","Allegro con brio","Scherzo: Allegro","Andante con moto","Allegro"
"Before becoming US President in 1981, he was head of a labor union.\n","Reagan","Hoover","Truman","Johnson","Reagan"
"Before he started making movies in Hollywood, Dudley Moore was part of a comedy duo in Great Britain in the late 60 and early 70s. What was his partners name?\n","Peter Cook","Peter Baker","Peter Cook","Less Parks","Jim Jackson"
"Before his death, host of the Tonight Show, Johnny Carson, used to meet Steve Martin, Chevy Chase and Carl Reiner in which club?\n","The Hollywood Gourmet Poker Club","The Friars Club","The Hollywood Gourmet Poker Club","The Santa Monica Marina Club","The Bel Air Golf and Country Club"
"Before making the change to a decimal based monetary system, one English guinea was comprised of this many shillings.  Coincidentally, it is also the number of letters in the Italian alphabet.\n","21","4","18","29","21"
"Before the F/A18 this was the main U.S. Marine Corps fighter/bomber.\n","Harrier","Cobra","Thunderbolt","Harrier","Tiger"
"Beginning in the 1970s, author Stephen King re-popularized the horror novel. Which of the following novels was NOT written by King?\n","Hideaway","Carrie","Hideaway","Salems Lot","The Dead Zone"
"Benito Mussolini, Napoleon Bonaparte, Alexander the Great, and Julius Caesar were all afraid of these animals.\n","Cats","Dogs","Horses","Cats","Mice"
"Benny Goodman, a great clarinetist, was always compared to this great jazz clarinetist, composer, bandleader, and writer.\n","Artie Shaw","Cootie Williams","Art Farmer","Bunny Berrigan","Artie Shaw"
"Berkeley Universitys, Search For Extraterrestrial Intelligences project , SETI@Home, is an experiment open for everyone to join. What is SETI@Homes aim?\n","To use free processing time in volunteers computers to analyze radio data","To bring an alien to each volunteers home","To place radio telescopes at volunteers homes","To use free processing time in volunteers computers to analyze radio data","To train volunteers for space missions"
"Bernard Webb was a pseudonym used by which famous musician and songwriter?\n","Paul McCartney","Paul McCartney","John  Lennon","Peter Asher","none of these  three answers is  correct"
"Between the 1920s and 1940s, the pink color was considered appropriate for this group of people, but later it became popular with others too.\n","Boys","Boys","Babies","Young women","High-class people"
"Biggin Hill in London, that is said to be haunted by ghosts, was what kind of war location in the past?\n","World War II airbase","World War I airbase","Revolutionary War strategy base","World War II airbase","D-Day commandment center"
"Blonde hair was important to Hitler, according to him it symbolized this.\n","The purity of the Aryan race","Valor","German nationality","Innocence","The purity of the Aryan race"
"Bloomsday is a secular holiday, which commemorates the life of Irish writer James Joyce and the fictitious events in his novel Ulysses. Bloomsday is celebrated annually, on what date?\n","June 16","October 19","December 24","June 16","July 3"
"Blue is a British boy band consisting of four members. The song Signed, Sealed, Delivered, Im Yours is performed by them and this musician.\n","Stevie Wonder","Jim Morrison","Stevie Wonder","Elton John","Steve Lawrence"
"Blue pages are a telephone directory of these.\n","Government offices","Business offices","Celebrities home numbers","Brothels numbers","Government offices"
"Bobby Leach, a circus stuntman from Cornwell, England, famous for surviving a barrel ride over the Niagara Falls, died in what way?\n","He slipped on a orange peel and died.","He was one of the first casualties of WWI.","He slipped on a orange peel and died.","He died during an attempt to swim the English Channel.","In 1912 he was aboard the Titanic and drowned."
"Body Heat, written and directed by Lawrence Kasdan of Star Wars, has everything; scheming lovers, murder, blackmail and betrayal.  Can you name the actor who played Matty Walkers doomed husband, Edmund?\n","Richard Crenna","Richard Crenna","E. G. Marshall","Peter Boyle","Harvey Keitel"
